case_path	generator_sha256	packaged_sha256	packaging_transform	archive_member	archive_byte_match	pair_byte_match	origin	source_pin	source_locator	license_basis
RTL/deps/Arbiter3_TaskBundle.sv	07cf4dbd2812ccce9fc9e75439d1256978e6c1409cfb0d47f840179897add385	6e4fdd16538028d0851a3034f8500290cf56deef8baf43f5e09aa05274a50265	trim-extra-eof-newline	./Arbiter3_TaskBundle.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Arbiter.scala:149:7	Apache-2.0
RTL/deps/MainPipe_1.sv	ed95ab8ef4972c9aa581ca41b707b5b80640d75874e5a9ead749086bf3f16ab6	351fe1478de686aa4fecadbf02ecd704e4644093998380ec47334ff132e03557	trim-extra-eof-newline	./MainPipe_1.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MainPipe.scala:33:7	Mulan-PSL-2.0
RTL/deps/FastArbiter_12.sv	2c804dfa041845e6fca169f223e67f09b3529b673b0ac56bc5a88fa45cc420bf	ad607c0897cb3c78b741203e4cd65f74e9f18bd53edc3fc1f9e0fa16543c2c48	trim-extra-eof-newline	./FastArbiter_12.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/TwoLevelRRArbiter_5.sv	0f717db453519fed949d08149ca7424e7df4822c6e7a7aabe6071ad4553d4600	56433e5842fccdb11cdd8fb83a5977bcb0418abaec9e40a40029b9d76024cc77	trim-extra-eof-newline	./TwoLevelRRArbiter_5.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/Queue1_ChosenQBundle.sv	b8502a1e9e07bd8662fd8edbda630f78a9a4eeaf6e345f7b9deeada2e3effa6b	9385019fd96985034d826ebbd78d0ee143eabdf38df3c6412120f2577ecb5c42	trim-extra-eof-newline	./Queue1_ChosenQBundle.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Queue.scala:60:7	Apache-2.0
RTL/deps/RequestBuffer.sv	5323cfa8c91185c6bcb19998be49cf2a6cda777cc0cb1aae2bf5b1fe1e48cee4	c44c229fe148303221fcb4f73110015aaa51ad0d4c26bc2c2045cf8e27b299b3	trim-extra-eof-newline	./RequestBuffer.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/RequestBuffer.scala:71:7	Mulan-PSL-2.0
RTL/deps/MSHR.sv	0b2feca3c50543c4603a18ce696475ef6441dc41babc6ba3b78db48a1be0fa2d	ffc6c9884b0d40f63217a487ef85df67a23a1e04221bd8a6664c6af53c6e22a6	trim-extra-eof-newline	./MSHR.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MSHR.scala:51:7	Mulan-PSL-2.0
RTL/deps/MSHRSelector.sv	edf41bfad9a1dd4785c5933e3ae7ac1bc0cd3cab147b40674d3505e9ff001ce9	b110ba4a787f039e1c45d17e5001abbb9a517e570f559ee8b7ef785d9c63fa6a	trim-extra-eof-newline	./MSHRSelector.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MSHRCtl.scala:95:9	Mulan-PSL-2.0
RTL/deps/FastArbiter_16.sv	b60b9714a29aa6c64c704b3054da953c8c331d0b6f82892c00b83f2733785356	e72c12d35d3d7b23c85e8669e3a736ea03ee16570e20fa73c0f1cb531226ef8a	trim-extra-eof-newline	./FastArbiter_16.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/TwoLevelRRArbiter_7.sv	dbf5b8cb2cd54a9b15d7ee1ea11f918026ca6f9a4de6bcd527daa5d9f9066250	a2143f294de5f9532f4409fad27fff08ee958df4572bf79d0e00bb966bf0aec8	trim-extra-eof-newline	./TwoLevelRRArbiter_7.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/FastArbiter_18.sv	770b581549a3931245966f1e949a06040d168c7740476d5631cb455232cca393	5e7a49d11db8b217bd14dd34d72a8e3cb6def58f38ba9ced54b1d180b01c8061	trim-extra-eof-newline	./FastArbiter_18.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/TwoLevelRRArbiter_8.sv	a64186f540af5339151b6dfedac98e7d692df574683a098f09dfcb50e284c709	e0eb0555929398030ab4b9b090b81678d2cf78b614f50cdd9469c9a406a24d13	trim-extra-eof-newline	./TwoLevelRRArbiter_8.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/SourceB.sv	748fd61ce8dc52662acd7b09f0174fcb61248ce5b88bd9e059bc969c9f4f0d2e	43481234736a26bfe63cdab567dfd4ec365185d1c7f29f2a89e477dc6bc17537	trim-extra-eof-newline	./SourceB.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/SourceB.scala:43:7	Mulan-PSL-2.0
RTL/deps/FastArbiter_20.sv	ea6f82f823e4b48bab4a23f1b6f5b017b7bf3af182835f41a2347ec2668caff4	4aa176c4ca8dbc5752714d97762a7eb63ad75491b759ef77f3c136896aed6359	trim-extra-eof-newline	./FastArbiter_20.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/TwoLevelRRArbiter_9.sv	9f40dd0820dec762fd4e95364444e3055b5a9dfa2c75e250dde32ee6c9bcb69a	c887500fd5eec4e7115215049d862f2f06853ed29b20dd384a695103c74ade04	trim-extra-eof-newline	./TwoLevelRRArbiter_9.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/FastArbiter_22.sv	e2ea8113c6869edf8e1a4f73a459f5aa98e812205059f625ad002506db1f09f4	eab91a93803d1250585f4091cc13effa62ee806e2b479d96ea3f235fc3cda939	trim-extra-eof-newline	./FastArbiter_22.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
